ID,Grant Agency,Term,Start Year,Organization Name,Project Title,Support Year,Grant Type,Award Amount,State,TermCode,AgencyCode
799,NSF,other race,2010,University of Texas at Austin,"Doctoral Dissertation Research: Central American Immigration on Mexico's Southern Border: Embodiments of Power, Citizenship, and Gender",5.0,1.0,"$11,995.00",TX,17,2
800,NSF,other race,2009,University of Texas at Austin,Doctoral Dissertation Research: Discourse Forms and Social Categorization in Cha'palaa,6.0,1.0,"$12,000.00",TX,17,2
801,NSF,other race,2015,North Carolina State University,CAREER: CS-CLIMATE: Fostering Collaborative Dialogue for Rigorous Learning and Diverse Student Retention in Computer Science,0.0,1.0,"$497,149.00",NC,17,2
802,NSF,other race,2013,North Carolina State University,Type I: Collaborative Research: FRABJOUS CS - Framing a Rigorous Approach to Beauty and Joy for Outreach to Underrepresented Students in Computing at Scale,2.0,1.0,"$438,831.00",NC,17,2
803,NSF,other race,2011,University of North Carolina at Charlotte,Type I: Collaborative Research: FRABJOUS CS - Framing a Rigorous Approach to Beauty and Joy for Outreach to Underrepresented Students in Computing at Scale,4.0,1.0,"$432,000.00",NC,17,2
804,NSF,other race,2011,University of California-Berkeley,Collaborative Research: Type 1: FRABJOUS CS - Framing a Rigourous Approach to Beauty and Joy for Outreach to Underrepresented Students in Computing at Scale,4.0,1.0,"$681,450.00",CA,17,2
805,NSF,other race,2014,DePaul University,BPEC: Broadening Participation in Computing through a Community Approach to Learning,1.0,1.0,"$598,479.00",IL,17,2
806,NSF,other race,2012,University of California-Davis,UC Davis ADVANCE: Institutional Transformation to Build and Sustain a Diverse Community of Innovative STEM Scholars,3.0,4.0,"$3,924,007.00",CA,17,2
807,NSF,other race,2013,University of South Florida,Coastal SEES (Track 1): Novel Approaches to Understanding Human Use Patterns and Mobility for Coastal Natural Resources Management,2.0,1.0,"$550,641.00",FL,17,2
808,NSF,other race,2014,New Mexico State University,Collaborative Proposal: Using Lean LaunchPad to Promote Transfer Students' Persistence in Engineering,1.0,1.0,"$348,043.00",NM,17,2
809,NSF,other race,2015,University of Wisconsin-Madison,XPS: FULL: CCA: NUMB: Exploiting Non-Uniform Memory Bandwidth for Computational Science,0.0,1.0,"$750,000.00",WI,17,2
810,NSF,other race,2015,SUNY at Albany,Workshop: Examining Overlooked Issues in Wrongful Convictions,0.0,1.0,"$49,807.00",NY,17,2
811,NSF,other race,1988,Michigan State University,Molecular Biology of Host-Specific Toxin Biosynthesis,27.0,1.0,"$175,000.00",MI,17,2
812,NSF,other race,2006,Princeton University,Engineering Research Center (ERC) on Mid-Infrared Technologies for Health and the Environment (MIRTHE),9.0,4.0,"$34,389,881.00",NJ,17,2
813,NSF,other race,1996,University of Maryland College Park,BIO Research Training Group Program: Biology in Small Populations,19.0,2.0,"$1,574,505.00",MD,17,2
814,NSF,other race,2007,University of Maryland College Park,A Generalized Outcome Test of Racial and Ethnic Discrimination in the Bail Decision Process,8.0,1.0,"$154,242.00",MD,17,2
815,NSF,other race,2013,University of Maryland College Park,Doctoral Dissertation Research: The Meaning and Evaluation of Fathers in the Professional Workplace,2.0,1.0,"$11,055.00",MD,17,2
816,NSF,other race,1996,University of Maryland College Park,Racial and Ethnic Classification in Demography and the Census,19.0,1.0,"$110,637.00",MD,17,2
817,NSF,other race,2015,University of Maryland College Park,CRII: SaTC: Empirical and Analytical Models for the Deployment of Software Updates in Large Vulnerable Populations,0.0,1.0,"$170,340.00",MD,17,2
818,NSF,other race,2011,University of Maryland College Park,DISSERTATION RESEARCH: Genital biomechanics and mating system evolution in leiobunine harvestmen (Opiliones: Sclerosomatidae),4.0,1.0,"$14,152.00",MD,17,2
819,NSF,other race,2011,University of Maryland College Park,Scholar's Award: A Critical Analysis of Natural and Behavioral Scientists' Use of Animal Studies to Better Understand Human Emotional and Cognitive Processes,4.0,1.0,"$112,005.00",MD,17,2
820,NSF,other race,2015,New Mexico Consortium,EAGER: The Use of Institutional Data to Identify Predictors of STEM Degree Completion,0.0,1.0,"$49,827.00",NM,17,2
821,NSF,other race,2013,University of New Mexico,TWC: Medium: Collaborative: Know Thy Enemy: Data Mining Meets Networks for Understanding Web-Based Malware Dissemination,2.0,1.0,"$333,009.00",NM,17,2
822,NSF,other race,2015,University of California-Santa Barbara,RAPID: The social psychology of judicial decisions affecting stigmatized groups,0.0,1.0,"$120,703.00",CA,17,2
823,NSF,other race,2014,University of Louisville Research Foundation Inc,Can the Spacing Effect Improve the Effectiveness of a Math Intervention Course for Engineering Students?,1.0,1.0,"$93,031.00",KY,17,2
824,NSF,other race,2008,University of Iowa,SGER: The Effects of Severe Flooding on the Educational Development of Public School Students,7.0,1.0,"$62,897.00",IA,17,2
825,NSF,other race,2006,University of Iowa,State Investments in Successful Transitions to Adulthood,9.0,1.0,"$127,819.00",IA,17,2
826,NSF,other race,2012,American Society For Engineering Education,Transforming Undergraduate Education in Engineering-- Phase 1: Mobilizing the Community for Change,3.0,1.0,"$198,634.00",DC,17,2
827,NSF,other race,2015,Cornell University,Collaborative Research: Diversifying the STEM Labor Force: Are Women and the Foreign-Born Complementary or Additive?,0.0,1.0,"$199,673.00",NY,17,2
828,NSF,other race,2014,University of San Diego,Collaborative Research: Military Veteran Students' Pathways in Engineering Education,1.0,1.0,"$472,627.00",CA,17,2
829,NSF,other race,2014,University of North Carolina at Chapel Hill,Doctoral Dissertation Research: Student Teacher Interaction and Learning,1.0,1.0,"$8,846.00",NC,17,2
830,NSF,other race,2010,Arkansas Science & Technology Authority,Arkansas ASSET II,5.0,4.0,"$20,000,000.00",AR,17,2
831,NSF,other race,2015,University of Michigan Ann Arbor,Examining the Effect of Entrepreneurial Education Pedagogy on the Development of Women in STEM,0.0,1.0,"$463,822.00",MI,17,2
832,NSF,other race,2011,University of North Carolina at Chapel Hill,MIRT: Stressed Polymers - Exploiting Tension in Soft Matter,4.0,2.0,"$3,180,000.00",NC,17,2
833,NSF,other race,2011,University of Michigan Ann Arbor,African American Racial Identity and Coping with Racial Stressors,4.0,1.0,"$449,163.00",MI,17,2
834,NSF,other race,2014,University of Colorado at Boulder,Doctoral Dissertation Research: The Effects of College Degrees on Health Behaviors,1.0,1.0,"$6,429.00",CO,17,2
835,NSF,other race,2013,Paine College,Broadening Participation Research Project: Understanding Barriers to STEM Education for African American Women,2.0,1.0,"$408,874.00",GA,17,2
836,NSF,other race,2013,Northern Arizona University,"Crystal-Liquid Dynamics of a Supereruption: The Youngest Toba Tuff and its Aftermath, Sumatra, Indonesia",2.0,1.0,"$229,336.00",AZ,17,2
837,NSF,other race,2004,Michigan State University,Excavating Culture in Parenting and Socialization Processes among Diverse Families,11.0,1.0,"$15,175.00",MI,17,2
838,NSF,other race,2001,Michigan State University,"SGER: The Attack on America, Civil Liberties Trade-offs and Ethnic Tolerance",14.0,1.0,"$77,103.00",MI,17,2
839,NSF,other race,2012,National Bureau of Economic Research Inc,Collaborative Research: Worker Adjustment to International Trade: Evidence from Administrative Data,3.0,1.0,"$174,348.00",MA,17,2
840,NSF,other race,2002,Michigan State University,ITR: Collaborative Research: Achieving Innovative and Reliable Services in Unlicensed Spectrum,13.0,2.0,"$411,222.00",MI,17,2
841,NSF,other race,2011,Madison-Villar Mercedita J,NSF Postdoctoral Fellowship in Biology for FY 2011,4.0,3.0,"$189,000.00",TX,17,2
842,NSF,other race,2000,Michigan State University,Doctoral Dissertation Research: Setting the Standard -- Competing Values in the South African Red Meat Commodity Chain,15.0,1.0,"$12,000.00",MI,17,2
843,NSF,other race,2005,Michigan State University,SGER: Collaborative Research: Racialized Explanations: Consequences for Intergroup and Intragroup Processes,10.0,1.0,"$22,748.00",MI,17,2
844,NSF,other race,2014,Michigan State University,Smarter together working conference: Developing a shared curriculum of Complex Instruction for elementary mathematics methods courses,1.0,1.0,"$43,705.00",MI,17,2
845,NSF,other race,2009,Georgia Tech Research Corporation,"Science Learning: Integrating Design, Engineering and Robotics (SLIDER)",6.0,2.0,"$3,492,961.00",GA,17,2
846,NSF,other race,2009,William Marsh Rice University,Collaborative Proposal: Continuation of th XENON Dark Matter Project: Construction and Underground Operation of an Upgraded XENON100 Detector,6.0,1.0,"$514,554.00",TX,17,2
847,NSF,other race,2015,University of Kansas Center for Research Inc,Doctoral Dissertation Improvement Grant: Ethnographic Research on the Question of Diaspora Among Ukraine's Displaced Crimean Populations,0.0,1.0,"$31,494.00",KS,17,2
848,NSF,other race,1988,William Marsh Rice University,Collaborative Research on the Implementation and Effects of the 1965 Voting Rights Act,27.0,1.0,"$44,796.00",TX,17,2
849,NSF,other race,2013,New York University,Doctoral Dissertation Improvement: The Effect of Interspecific Hybridization on MHC Diversity in Wild Baboons,2.0,1.0,"$31,226.00",NY,17,2
850,NSF,other race,2014,Kansas State University,"Collaborative Research: Testing for physiological and genetic independence of rapidly evolving lifecycle components in the apple maggot, a model for seasonal adaptation",1.0,2.0,"$407,445.00",KS,17,2
851,NSF,other race,2005,Arizona State University,SGER Collaborative Research: Surviving Katrina and its Aftermath:A Comparative Analysis of Community Mobilization and Access to Emergency Relief by Vietnamese and African Americans,10.0,1.0,"$99,383.00",AZ,17,2
852,NSF,other race,2008,Michigan Technological University,"International Workshop on Delivering Sustainable Infrastructure; Auckland, New Zealand; December 15-17, 2008",7.0,1.0,"$60,421.00",MI,17,2
853,NSF,other race,2011,Cleveland State University,The Economic Spillovers from Science,4.0,1.0,"$116,983.00",OH,17,2
854,NSF,other race,2007,University of Houston,Scalable Performance and Power-Aware Hybrid Compilation System for Multicores,8.0,1.0,"$381,000.00",TX,17,2
855,NSF,other race,2010,University of Pittsburgh,A History of Behavioral Genetics,5.0,2.0,"$198,514.00",PA,17,2
856,NSF,other race,2014,New York University,Dynamic Modeling and Identification of Human Metabolic Energy Expenditure with Applications to Prosthetic Gait,1.0,1.0,"$350,000.00",NY,17,2
857,NSF,other race,2011,Kansas State University,Math Matters: Transition from High School to Postsecondary Education,4.0,2.0,"$249,622.00",KS,17,2
858,NSF,other race,2015,University of California-Berkeley,Sustaining and Evaluating STEM Teacher Quality and Retention at Cal Teach Berkeley,0.0,1.0,"$799,916.00",CA,17,2
859,NSF,other race,2013,University of Illinois at Urbana-Champaign,EAGER: Mapping Fragmentation and Topology Optimization Concepts to GPUs,2.0,1.0,"$300,000.00",IL,17,2
860,NSF,other race,2015,University of Virginia Main Campus,A Study of Elements of Teacher Preparation Programs that Interact with Candidates' Characteristics to Support Novice Elementary Teachers to Enact Ambitious Mathematics Instruction,0.0,1.0,"$1,497,618.00",VA,17,2
861,NSF,other race,2008,Gordon Research Conferences,"2008 Thin Film And Small Scale Mechanical Behavior Gordon Research Conference; Colby College, Waterville, Maine; July 27 to 1 August, 2008",7.0,1.0,"$16,000.00",RI,17,2
862,NSF,other race,2007,Georgia Tech Research Corporation,Travel Grant for 1st US Italy Seismic Design of Bridges Workshop,8.0,1.0,"$10,000.00",GA,17,2
863,NSF,other race,2014,Washington State University,"Mesoscale Plasticity: Dislocation Patterns, Stochastic and Size Effects",1.0,1.0,"$340,008.00",WA,17,2
864,NSF,other race,2013,Triad Interactive Media,SBIR Phase I: Contemporary Studies of the Zombie Apocalypse: An Online Game to Teach Mathematical Thinking to Middle School Students,2.0,1.0,"$150,000.00",NC,17,2
865,NSF,other race,2015,University of Missouri-Columbia,Collaborative Research: Understanding the Role of High Schools in Diversifying and Promoting Undergraduate Engineering Degree Attainment,0.0,1.0,"$204,817.00",MO,17,2
866,NSF,other race,2015,University of Hawaii,Collaborative Research: EAGER: Understanding the Confluence: Social Identities in Engineering Education and Practice,0.0,1.0,"$79,613.00",HI,17,2
867,NSF,other race,2014,Purdue University,Collaborative Research: Military Veteran Students' Pathways in Engineering Education,1.0,1.0,"$91,914.00",IN,17,2
868,NSF,other race,2013,University of Virginia Main Campus,EAGER: Solid-state thermal switching,2.0,1.0,"$233,815.00",VA,17,2
869,NSF,other race,2013,Virginia Polytechnic Institute and State University,A Longitudinal Study of the Dimensions of Disciplinary Culture to Enhance Innovation and Retention among Engineering Students,2.0,1.0,"$435,623.00",VA,17,2
870,NSF,other race,2015,University of Texas - Pan American,Collaborative Research: EAGER: Understanding the Confluence: Social Identities in Engineering Education and Practice,0.0,1.0,"$119,063.00",TX,17,2
871,NSF,other race,2015,Oregon State University,Collaborative Research: EAGER: Understanding the Confluence: Social Identities in Engineering Education and Practice,0.0,1.0,"$100,000.00",OR,17,2
872,NSF,other race,2015,Purdue University,Collaborative Research: Understanding the Role of High Schools in Diversifying and Promoting Undergraduate Engineering Degree Attainment,0.0,1.0,"$181,161.00",IN,17,2
873,NSF,other race,2002,Colorado School of Mines,"Career: Global Engineers: An Ethnography of Globalization in the Education, Hiring Practices, and Problem-Solving of Engineers in the US, Europe, and Latin America",13.0,2.0,"$67,859.00",CO,17,2
874,NSF,other race,2014,Florida International University,Collaborative Research: Intersectionality of Non-normative Identities in the Cultures of Engineering (InIce),1.0,1.0,"$170,527.00",FL,17,2
875,NSF,other race,2014,Clemson University,Collaborative Research: Intersectionality of Non-normative Identities in the Cultures of Engineering (InIce),1.0,1.0,"$205,579.00",SC,17,2
876,NSF,other race,2013,Pennsylvania State Univ University Park,AGEP-BPR: An Exploratory Examination of STEM Graduate Programs between the United States and England: Comparative Designs and Patterns for Select Minorities,2.0,1.0,"$209,335.00",PA,17,2
877,NSF,other race,2014,University of Arkansas,"REU Site: An Interdisciplinary Exploration of the Convergence of Science and Engineering: Micro to Nanoscale Materials, Processing, and Devices",1.0,1.0,"$359,866.00",AR,17,2
878,NSF,other race,2011,West Virginia University Research Corporation,"Doctoral Dissertation Research: Rescaling Uneven Development: Examining Peri-Urban Landscape Change in Limpopo, South Africa",4.0,1.0,"$11,969.00",WV,17,2
879,NSF,other race,2012,University of North Carolina at Chapel Hill,"SCDB Meeting:Innovations in Development University of California SC August 08-11, 2012",3.0,1.0,"$14,915.00",NC,17,2
880,NSF,other race,2012,University of North Carolina at Chapel Hill,Doctoral Dissertation Research: Urban Farming and the Politics of Abandoned Land in Detroit,3.0,1.0,"$12,000.00",NC,17,2
881,NSF,other race,2007,University of North Carolina at Chapel Hill,Management Matters: Consequences of Managerial Composition,8.0,1.0,"$139,827.00",NC,17,2
882,NSF,other race,2012,University of North Carolina at Charlotte,A Comparative Study of Ethnic Entrepreneurship in U.S. Immigration Gateways,3.0,2.0,"$160,000.00",NC,17,2
883,NSF,other race,2001,Council on Competitiveness,National Innovation Summit 2001: Proposal to the National Science Foundation,14.0,1.0,"$99,000.00",DC,17,2
884,NSF,other race,2006,National Academy of Sciences,ADVANCE Leadership Award: Women in Science and Engineering: A Guide to Maximizing their Potential,9.0,1.0,"$100,000.00",DC,17,2
885,NSF,other race,2013,University of North Carolina at Charlotte,Status and Behavior,2.0,1.0,"$230,735.00",NC,17,2
886,NSF,other race,2015,Missouri State University,RAPID: Human Relations in Los Angeles,0.0,1.0,"$24,939.00",MO,17,2
887,NSF,other race,2007,University of North Carolina at Chapel Hill,"Doctoral Dissertation Research in DRMS: Hurricane Evacuation Failure: The Role of Social Cohesion, Social Networks, and Social Capital",8.0,1.0,"$9,311.00",NC,17,2
888,NSF,other race,1991,University of California-San Diego,"1991 West Coast Regional Developmental Biology Conference April 4-7, 1991; Lake Arrowhead, CA",24.0,1.0,"$2,000.00",CA,17,2
889,NSF,other race,1996,University of North Carolina at Chapel Hill,"Estrangement from the Public Sphere: Economic Change, Democracy and Social Division in North Carolina",19.0,2.0,"$232,086.00",NC,17,2
890,NSF,other race,2013,University of California-San Diego,Who Leaves and Who Arrives? Mapping the Connections between Universities and the Science and Engineering Workforce,2.0,1.0,"$102,387.00",CA,17,2
891,NSF,other race,2012,University of California-San Diego,Collaborative Research: Worker Adjustment to International Trade: Evidence from Administrative Data,3.0,1.0,"$94,178.00",CA,17,2
892,NSF,other race,2000,University of North Carolina at Chapel Hill,CAREER: African American Mothers' School Involvement at the Kindergarten Transition,15.0,2.0,"$93,939.00",NC,17,2
893,NSF,other race,1993,University of California-San Diego,1993 West Coast Regional Developmental Biology Conference,22.0,1.0,"$3,500.00",CA,17,2
894,NSF,other race,2010,University of California-San Diego,Doctoral Dissertation Research: Individual Beliefs and Occupational Gender Segregation,5.0,1.0,"$6,796.00",CA,17,2
895,NSF,other race,2007,National Academy of Sciences,Support for a Workshop Titled Toward Sustainable Critical Infrastructure Systems,8.0,1.0,"$50,000.00",DC,17,2
896,NSF,other race,2011,University of California-San Diego,Collaborative Research: SDCI Sec: Metadata Management Software Tools to Support Research and Development of Cyberinfrastructure,4.0,1.0,"$405,999.00",CA,17,2
897,NSF,other race,1993,American Bar Foundation,The Impact of Civil Rights Laws on the Economic Welfare of Minorities,22.0,1.0,"$171,946.00",IL,17,2
898,NSF,other race,1997,University of North Carolina at Chapel Hill,"Doctoral Dissertation Research: Class and the Color Line: The Knights of Labor in the South, 1880-1890",18.0,1.0,"$3,381.00",NC,17,2
899,NSF,other race,2004,National Academy of Sciences,A Review of the National Nanotechnology Program; An Assessment of the Responsible Development of Nanotechnology; An Assessment of the Technical Feasibility of Molecular Self-Assemb,11.0,2.0,"$1,390,000.00",DC,17,2
900,NSF,other race,2000,University of North Carolina at Chapel Hill,Doctoral Dissertation Research in Political Science: How Civic Journalism Influences Political Learning and Deliberation,15.0,1.0,"$7,867.00",NC,17,2
901,NSF,other race,2011,University of North Carolina at Charlotte,Collaborative Research: Supporting Secure Programming Education in the IDE,4.0,1.0,"$183,589.00",NC,17,2
902,NSF,other race,2010,National Academy of Sciences,Large-Scale Reform in K-12 STEM Education: Looking at What is Known,5.0,1.0,"$200,000.00",DC,17,2
903,NSF,other race,2000,University of North Carolina at Chapel Hill,Doctoral Dissertation: Making Collective History in South Louisiana,15.0,1.0,"$11,785.00",NC,17,2
904,NSF,other race,2000,WGBH Educational Foundation,The Human Blueprint,15.0,1.0,"$552,785.00",MA,17,2
905,NSF,other race,2010,University of North Carolina at Charlotte,"Finding the Roots: Interactive Influence of Individual, High School, and College Institutional Factors on the Success of Women and Underrepresented Minorities in STEM Majors",5.0,2.0,"$1,347,098.00",NC,17,2
906,NSF,other race,1994,American Bar Foundation,"Resistance and Rebellion in Black South Africa, 1830-1920",21.0,1.0,"$137,933.00",IL,17,2
907,NSF,other race,1987,University of California-San Diego,Adaptationist Explanations in Biology: A Case Study,28.0,1.0,"$30,000.00",CA,17,2
908,NSF,other race,2009,University of North Carolina at Chapel Hill,Optimizing Implicit Attitude Measurement,6.0,1.0,"$280,000.00",NC,17,2
909,NSF,other race,1996,National Opinion Research Center,"Early Labor Market Careers of Black, White, and Hispanic Women",19.0,1.0,"$170,053.00",IL,17,2
910,NSF,other race,2014,American Association of Physics Teachers,"IUPAP International Conference on Women in Physics August 2014 in Waterloo, Canada, August 5-8, 2014",1.0,1.0,"$128,400.00",MD,17,2
911,NSF,other race,2014,American Sociological Assoc,Science of Broadening Participation: Stratification in Academic Career Trajectories,1.0,2.0,"$267,660.00",DC,17,2
912,NSF,other race,1994,Cold Spring Harbor Laboratory,Exon-Trap Sequencing Using Transposons in Arabidopsis,21.0,2.0,"$450,000.00",NY,17,2
913,NSF,other race,2003,Federation of Amer Societies For Exper Biology,"FASEB Conference on Genetic Recombination, to be held in Snowmass Village, Colorado on July 26-31, 2003.",12.0,1.0,"$4,000.00",MD,17,2
914,NSF,other race,2011,American Sociological Assoc,"Social Capital, Organizational Context, and the Job Market",4.0,1.0,"$205,256.00",DC,17,2
915,NSF,other race,2010,Museum of Science,Nanoscale Informal Science Education Network,5.0,2.0,"$21,742,585.00",MA,17,2
916,NSF,other race,2006,American Sociological Assoc,"What Can I Do with a Bachelor's Degree in Sociology, Phase II",9.0,1.0,"$91,850.00",DC,17,2
917,NSF,other race,2014,Syracuse University,EAGER: Enhancing Recruitment and Retention of Underrepresented Populations Through PLTL (ERRUPT),1.0,1.0,"$169,734.00",NY,17,2
918,NSF,other race,2005,Franklin Institute Science Museum,"The Impact of Informal Science on Girls' Interest, Engagement and Participation in Science Communities, Hobbies and Careers: A Research and Dissemination Project",10.0,2.0,"$1,205,758.00",PA,17,2
919,NSF,other race,1993,Educational Testing Service,The Underrepresentation of Minority Women in Science and Engineering Education,22.0,1.0,"$99,395.00",NJ,17,2
920,NSF,other race,2015,Arizona State University,Collaboration Cosmopolitanism and Scientific and Technical Human Capital: Implications for Women and Underrepresented Minorities,0.0,1.0,"$249,811.00",AZ,17,2
921,NSF,other race,2007,Cornell University,International Research Experience in Nanotechnology-NNIN and NIMS,8.0,1.0,"$150,000.00",NY,17,2
922,NSF,other race,2014,Duryea Mary C,NSF Postdoctoral Fellowship in Biology FY 2014,1.0,3.0,"$188,888.00",NH,17,2
923,NSF,other race,2006,University of Oklahoma Norman Campus,Doctoral Dissertation Improvement Grant: Informal Identity and the Mimbres Phenomenon: Regional Identity and Archaeological Cultures in the Mimbres Mogollon,9.0,1.0,"$12,000.00",OK,17,2
924,NSF,other race,2005,University of Oklahoma Norman Campus,Collaborative Research: CMG: Adaptive High-Order Methods for Nonhydrostatic Numerical Weather Prediction,10.0,1.0,"$431,236.00",OK,17,2
925,NSF,other race,1999,University of Oklahoma Norman Campus,Breathing Space: A History of Asthma and the Environment,16.0,2.0,"$42,450.00",OK,17,2
926,NSF,other race,2010,SPACE SCIENCE INSTITUTE,Making Space Social: Exploring the Educational Potential of the Facebook Social Network,5.0,1.0,"$594,427.00",CO,17,2
927,NSF,other race,2009,University of Chicago,Urban Teacher Education Program Secondary Math and Science,6.0,1.0,"$900,000.00",IL,17,2
928,NSF,other race,2010,Kent State University,Collaborative Research: Decreasing Inequality In Groups,5.0,1.0,"$80,000.00",OH,17,2
929,NSF,other race,2013,University of Florida,"Collaborative Research: Testing for physiological and genetic independence of rapidly evolving lifecycle components in the apple maggot, a model for seasonal adaptation",2.0,2.0,"$320,729.00",FL,17,2
930,NSF,other race,2015,George Washington University,EAGER: Diversity of Animal Immunity and Somatic DNA Modifications in the Sea Urchin,0.0,1.0,"$300,000.00",DC,17,2
931,NSF,other race,2015,West Virginia University Research Corporation,EAGER: Collaborative Research: CRUFS: A Unified Framework for Social Media Analysis of Adverse Drug Events,0.0,1.0,"$140,000.00",WV,17,2
932,NSF,other race,2015,University of Virginia Main Campus,EAGER: Collaborative Research: CRUFS: A Unified Framework for Social Media Analysis of Adverse Drug Events,0.0,1.0,"$110,000.00",VA,17,2
933,NSF,other race,2014,SUNY at Buffalo,Doctoral Dissertation Research: Understanding Maternity Care Decisions,1.0,1.0,"$8,505.00",NY,17,2
934,NSF,other race,2012,Pennsylvania State Univ University Park,Doctoral Dissertation Research: Punishing the 'Others': Understanding Citizenship through Punishment in the United States and Germany,3.0,1.0,"$18,074.00",PA,17,2
935,NSF,other race,2015,Rutgers University New Brunswick,EAGER: Developing an Application for Assessing Respondent Experiences of Their Surroundings in Real Time,0.0,1.0,"$51,847.00",NJ,17,2
936,NSF,other race,2015,Temple University,Doctoral Dissertation Research: Reproductive-immune trade-offs in preterm birth: a life history perspective,0.0,1.0,"$31,200.00",PA,17,2
937,NSF,other race,2015,Southern Illinois University at Carbondale,EAGER: The Carbondale Study: A Model for Student and Community Engagement in Research,0.0,1.0,"$78,551.00",IL,17,2
938,NSF,other race,2015,Indiana University,Doctoral Dissertation Research: Within-Group Inequality,0.0,1.0,"$11,881.00",IN,17,2
939,NSF,other race,2015,Portland State University,"Urban Agriculture, Policy Making, and Sustainability",0.0,1.0,"$249,978.00",OR,17,2
940,NSF,other race,2014,Johns Hopkins University,Rethinking the reaction time,1.0,2.0,"$674,030.00",MD,17,2
941,NSF,other race,2015,University of Georgia Research Foundation Inc,Doctoral Dissertation Research: Understanding Inequalities in Response to Disaster Recovery,0.0,1.0,"$12,000.00",GA,17,2
942,NSF,other race,2015,Pennsylvania State Univ University Park,Changes in Family Systems and Child Well-Being,0.0,1.0,"$83,453.00",PA,17,2
943,NSF,other race,2014,Rutgers University New Brunswick,"Collaborative Research: Crime and Community in a Changing Society, The National Neighborhood Crime Study 2",1.0,1.0,"$274,536.00",NJ,17,2
944,NSF,other race,2013,Duke University,Collaborative Research: Heterogeneity and Adaptation in American Wealth,2.0,1.0,"$184,398.00",NC,17,2
945,NSF,other race,2013,Stanford University,Doctoral Dissertation Research: The Consequences of Status Inconsistency.,2.0,1.0,"$11,919.00",CA,17,2
946,NSF,other race,2014,Fordham University,The Effects of Racial Discrimination and Sleep Disturbance on Health and Academic Outcomes among Minority Youth,1.0,2.0,"$582,591.00",NY,17,2
947,NSF,other race,2015,University of Michigan Ann Arbor,"NRI: Collaborative Research: RobotSLANG: Simultaneous Localization, Mapping, and Language Acquisition",0.0,1.0,"$649,999.00",MI,17,2
948,NSF,other race,2015,University of Wisconsin-Madison,Doctoral Dissertation Research: Boundaries and Local Resource Access in Gentrifying Neighborhoods.,0.0,1.0,"$11,809.00",WI,17,2
949,NSF,other race,2011,American Association For Advancement Science,Building Excellence in Undergraduate STEM Education,4.0,1.0,"$2,031,997.00",DC,17,2
950,NSF,other race,2014,University of South Carolina at Columbia,"Status, Faction Sizes and Social Influence",1.0,1.0,"$144,540.00",SC,17,2
951,NSF,other race,2013,University of Southern California,Collaborative Research: Heterogeneity and Adaptation in American Wealth,2.0,1.0,"$120,000.00",CA,17,2
952,NSF,other race,2013,Stanford University,"Doctoral Dissertation Research: The Impact of Occupational Licensing on Wages, Inequality, and Diversity",2.0,1.0,"$11,893.00",CA,17,2
953,NSF,other race,2015,Purdue University,"NRI: Collaborative Research: RobotSLANG: Simultaneous Localization, Mapping, and Language Acquisition",0.0,1.0,"$650,000.00",IN,17,2
954,NSF,other race,2001,Bowdoin College,RUI: Evolutionary Genetics of Sexual Conflict in Caenorhabditis,14.0,1.0,"$256,676.00",ME,17,2
955,NSF,other race,2005,Purdue University,Ostracism and Aggression,10.0,1.0,"$430,185.00",IN,17,2
956,NSF,other race,2008,Purdue University,Doctoral Dissertation Research: Status and Engineering Identity Development Among Undergraduate Majors,7.0,1.0,"$4,150.00",IN,17,2
957,NSF,other race,2012,National Bureau of Economic Research Inc,The Long-Term Regional Economic Impacts from Public Investment in University Research,3.0,1.0,"$125,000.00",MA,17,2
958,NSF,other race,2006,Purdue University,ST-CRTS: Collaborative: Delivering on Atomic Actions: Unlocking Concurrency for Ordinary Programmers,9.0,1.0,"$291,999.00",IN,17,2
959,NSF,other race,2012,University of Tennessee Knoxville,Collaborative Research: The Economic Origins and Ramifications of the Great Migration,3.0,1.0,"$234,902.00",TN,17,2
960,NSF,other race,2015,University of Georgia Research Foundation Inc,"Southeastern Ecology and Evolution Conference (SEEC) Diversity Initiative; University of Georgia, March 13-15, 2015",0.0,1.0,"$10,000.00",GA,17,2
961,NSF,other race,1995,Northwestern University,Differential Effectiveness of Schools,20.0,1.0,"$178,881.00",IL,17,2
962,NSF,other race,2006,Northwestern University,SGER: Inferred and Experienced Intergroup Emotions as Predictors of Helping of Victim Groups: Helping When We -- not They -- Need it Most,9.0,1.0,"$17,915.00",IL,17,2
963,NSF,other race,2013,University of Georgia Research Foundation Inc,Smarter together working conference: Developing a shared curriculum of Complex Instruction for elementary mathematics methods courses,2.0,1.0,"$106,677.00",GA,17,2
964,NSF,other race,2009,University of Georgia Research Foundation Inc,CAREER: Examining the role of context in the mathematical learning of young children,6.0,2.0,"$542,871.00",GA,17,2
965,NSF,other race,2011,Texas A&M Research Foundation,The molecular evolution of reproductive genes in seahorses and pipefishes,4.0,1.0,"$639,875.00",TX,17,2
966,NSF,other race,2012,University of Georgia Research Foundation Inc,"Fossil Finders: Using Fossils to Teach about Evolution, Inquiry and Nature of Science",3.0,2.0,"$376,735.00",GA,17,2
