PROMOTING HEPATITIS B SCREENING FOR VIETNAMESE AMERICAN ADULTS,NCI,8150321,5P01CA109091-05,5,P01,CA,109091,5,,1,7941147,"NGUYEN, TUNG T",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2010,,435671
PROMOTING HEPATITIS B SCREENING FOR VIETNAMESE AMERICAN ADULTS,NCI,7914082,5P01CA109091-04,5,P01,CA,109091,4,,1,7941147,"NGUYEN, TUNG T",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2009,,417593
PROMOTING HEPATITIS B SCREENING FOR VIETNAMESE AMERICAN ADULTS,NCI,7689280,5P01CA109091-03,5,P01,CA,109091,3,,1,7941147,"NGUYEN, TUNG T",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2008,,447678
PROMOTING HEPATITIS B SCREENING FOR VIETNAMESE AMERICAN ADULTS,NCI,7496088,5P01CA109091-02,5,P01,CA,109091,2,,1,7941147,"NGUYEN, TUNG T",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,2007,,429542
PROMOTING HEPATITIS B SCREENING FOR VIETNAMESE AMERICAN ADULTS,NCI,7102337,1P01CA109091-01A1,1,P01,CA,109091,1,A1,1,7941147,"NGUYEN, TUNG T",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,2006,,461588
DEVELOPING A CULTURALLY COMPETENT TRAUMA THERAPY,NIMH,7115007,5R34MH071945-03,5,R34,MH,71945,3,,,8591366,"OSTERMAN, JANET ",Not Applicable,BOSTON MEDICAL CENTER, ,2006,198840,
DEVELOPING A CULTURALLY COMPETENT TRAUMA THERAPY,NIMH,6945196,5R34MH071945-02,5,R34,MH,71945,2,,,8591366,"OSTERMAN, JANET ",Not Applicable,BOSTON MEDICAL CENTER, ,2005,203625,
DEVELOPING A CULTURALLY COMPETENT TRAUMA THERAPY,NIMH,6820116,1R34MH071945-01,1,R34,MH,71945,1,,,8591366,"OSTERMAN, JANET ",Not Applicable,BOSTON MEDICAL CENTER, ,2004,203625,
INFORMED CONSENT FOR LATINOS WITH SCHIZOPHRENIA,NIMH,8660343,5R01MH097274-03,5,R01,MH,97274,3,,,1873172,"PALMER, BARTON W. ","BARRIO, CONCEPCION ",UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2014,469259,
INFORMED CONSENT FOR LATINOS WITH SCHIZOPHRENIA,NIMH,8464282,5R01MH097274-02,5,R01,MH,97274,2,,,1873172,"PALMER, BARTON W. ","BARRIO, CONCEPCION ",UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2013,436816,
INFORMED CONSENT FOR LATINOS WITH SCHIZOPHRENIA,NIMH,8302919,1R01MH097274-01,1,R01,MH,97274,1,,,1873172,"PALMER, BARTON W. ","BARRIO, CONCEPCION ",UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2012,475378,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY-RENEWAL,NIOSH,8218371,2U54OH007550-11,2,U54,OH,7550,11,,,1934663,"PINKERTON, KENT ED",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2011,1710900,
BREAST CANCER PREVENTION MHEALTH INTERVENTION FOR RURAL LATINAS,NCI,8968108,1K01CA190659-01A1,1,K01,CA,190659,1,A1,,12004488,"RAMIREZ, A SUSANA",Not Applicable,"UNIVERSITY OF CALIFORNIA, MERCED", ,2015,126865,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY-RENEWAL,NIOSH,8897889,5U54OH007550-15,5,U54,OH,7550,15,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2015,1844279,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY AT UC DAVIS,NIOSH,7896470,5U50OH007550-10,5,U50,OH,7550,10,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2010,936076,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY AT UC DAVIS,NIOSH,7643210,5U50OH007550-09,5,U50,OH,7550,9,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2009,974492,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY AT UC DAVIS,NIOSH,7467331,5U50OH007550-08,5,U50,OH,7550,8,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2008,991927,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY AT UC DAVIS,NIOSH,7282427,5U50OH007550-07,5,U50,OH,7550,7,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,2007,942908,
THE WESTERN CENTER FOR AGRICULTURAL HEALTH AND SAFETY AT UC DAVIS,NIOSH,7193095,2U50OH007550-06,2,U50,OH,7550,6,,,1935019,"SCHENKER, MARC B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,2006,1304878,
REDUCING CANCER RISKS AMONG NATIVE AMERICAN ADOLESCENTS,NCI,2094665,5U01CA052251-05,5,U01,CA,52251,5,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,1994,522007
REDUCING CANCER RISKS AMONG NATIVE AMERICAN ADOLESCENTS,NCI,3549559,5U01CA052251-04,5,U01,CA,52251,4,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,1993,491568
REDUCING CANCER RISKS AMONG NATIVE AMERICAN ADOLESCENTS,NCI,3549558,5U01CA052251-03,5,U01,CA,52251,3,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,1992,472662
PREVENTING DRUG ABUSE AMONG HISPANIC ADOLESCENTS,NIDA,8913924,5R01DA031477-04,5,R01,DA,31477,4,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2015,661707
PREVENTING DRUG ABUSE AMONG HISPANIC ADOLESCENTS,NIDA,8711416,5R01DA031477-03,5,R01,DA,31477,3,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2014,681408
PREVENTING DRUG ABUSE AMONG HISPANIC ADOLESCENTS,NIDA,8539756,5R01DA031477-02,5,R01,DA,31477,2,,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2013,666395
PREVENTING DRUG ABUSE AMONG HISPANIC ADOLESCENTS,NIDA,8220111,1R01DA031477-01A1,1,R01,DA,31477,1,A1,,1861913,"SCHINKE, STEVEN PAUL",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2012,704174
CULTURAL EFFECTS ON RETENTION IN AUTOBIOGRAPHICAL MEMORY,NIMH,2655352,5F32MH011157-03,5,F32,MH,11157,3,,,1955066,"SCHRAUF, ROBERT WILLIAM",Not Applicable,DUKE UNIVERSITY, ,1998,29160
CULTURAL EFFECTS ON RETENTION IN AUTOBIOGRAPHICAL MEMORY,NIMH,2332647,5F32MH011157-02,5,F32,MH,11157,2,,,1955066,"SCHRAUF, ROBERT WILLIAM",Not Applicable,DUKE UNIVERSITY, ,1997,24420
2/2 - SUICIDE PREVENTION IN CHINESE OLDER ADULTS,NIMH,8843962,5R34MH100393-02,5,R34,MH,100393,2,,,9164004,"SIMON, MELISSA ANDREA ","DONG, XINQI ",NORTHWESTERN UNIVERSITY AT CHICAGO, ,2015,177831
2/2 - SUICIDE PREVENTION IN CHINESE OLDER ADULTS,NIMH,8637659,1R34MH100393-01A1,1,R34,MH,100393,1,A1,,9164004,"SIMON, MELISSA ANDREA ","DONG, XINQI ",NORTHWESTERN UNIVERSITY AT CHICAGO, ,2014,191566
DRUG ATTITUDES AND BEHAVIOR ON THE US/MEXICO BORDER,NIDA,6796002,5R01DA014794-04,5,R01,DA,14794,4,,,1956340,"SPENCE, RICHARD ",Not Applicable,UNIVERSITY OF TEXAS AUSTIN, ,2004,254926
DRUG ATTITUDES AND BEHAVIOR ON THE US/MEXICO BORDER,NIDA,6650832,5R01DA014794-03,5,R01,DA,14794,3,,,1956340,"SPENCE, RICHARD ",Not Applicable,UNIVERSITY OF TEXAS AUSTIN, ,2003,254926
DRUG ATTITUDES AND BEHAVIOR ON THE US/MEXICO BORDER,NIDA,6523516,5R01DA014794-02,5,R01,DA,14794,2,,,1956340,"SPENCE, RICHARD ",Not Applicable,UNIVERSITY OF TEXAS AUSTIN, ,2002,295877
DRUG ATTITUDES AND BEHAVIOR ON THE US/MEXICO BORDER,NIDA,6447139,1R01DA014794-01,1,R01,DA,14794,1,,,1956340,"SPENCE, RICHARD ",Not Applicable,UNIVERSITY OF TEXAS AUSTIN, ,2001,306475
CERVICAL CANCER CONTROL IN A CAMBODIAN POPULATION,NCI,2895552,5R01CA070922-04,5,R01,CA,70922,4,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,1999,254461
CERVICAL CANCER CONTROL IN A CAMBODIAN POPULATION,NCI,2683658,5R01CA070922-03,5,R01,CA,70922,3,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,1998,430880,
CERVICAL CANCER CONTROL IN A CAMBODIAN POPULATION,NCI,2390938,5R01CA070922-02,5,R01,CA,70922,2,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,1997,470554,
CERVICAL CANCER CONTROL IN VIETNAMESE WOMEN,NCI,7236655,5R01CA115564-03,5,R01,CA,115564,3,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CAN RES CTR, ,2007,330008,
CERVICAL CANCER CONTROL IN VIETNAMESE WOMEN,NCI,7105500,5R01CA115564-02,5,R01,CA,115564,2,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CANCER RES CTR, ,2006,516753,
CERVICAL CANCER CONTROL IN VIETNAMESE WOMEN,NCI,6954454,1R01CA115564-01,1,R01,CA,115564,1,,,1883983,"TAYLOR, VICTORIA M",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,2005,461344,
CHILDHOOD BILINGUALISM & DEVELOPMENTAL PSYCHOPATHOLOGY,NIMH,7122533,5K01MH001947-05,5,K01,MH,1947,5,,,6406792,"TOPPELBERG, CLAUDIO O.",Not Applicable,JUDGE BAKER CHILDREN'S CENTER, ,2006,169085,
CHILDHOOD BILINGUALISM & DEVELOPMENTAL PSYCHOPATHOLOGY,NIMH,6931635,5K01MH001947-04,5,K01,MH,1947,4,,,6406792,"TOPPELBERG, CLAUDIO O.",Not Applicable,JUDGE BAKER CHILDREN'S CENTER, ,2005,169085,
CHILDHOOD BILINGUALISM & DEVELOPMENTAL PSYCHOPATHOLOGY,NIMH,6800136,5K01MH001947-03,5,K01,MH,1947,3,,,6406792,"TOPPELBERG, CLAUDIO O.",Not Applicable,JUDGE BAKER CHILDREN'S CENTER, ,2004,169005,
CHILDHOOD BILINGUALISM & DEVELOPMENTAL PSYCHOPATHOLOGY,NIMH,6663659,5K01MH001947-02,5,K01,MH,1947,2,,,6406792,"TOPPELBERG, CLAUDIO O.",Not Applicable,JUDGE BAKER CHILDREN'S CENTER, ,2003,168925,
CHILDHOOD BILINGUALISM & DEVELOPMENTAL PSYCHOPATHOLOGY,NIMH,6542731,1K01MH001947-01A2,1,K01,MH,1947,1,A2,,6406792,"TOPPELBERG, CLAUDIO O.",Not Applicable,JUDGE BAKER CHILDREN'S CENTER, ,2002,168727,
ACCULTURATION AND DRUG USE IN FAMILY AND PEER CONTEXTS,NIDA,7116162,3R01DA016310-01A1S1,3,R01,DA,16310,1,A1S1,,1939020,"UNGER, JENNIFER BETH",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2005,31277,
PATHWAYS TO EARLY CANCER DETECTION FOR CHINESE AMERICANS,NCI,2823692,2P01CA055112-05A1,2,P01,CA,55112,5,A1,5,,Unavailable,Not Applicable,NORTHERN CALIFORNIA CANCER CENTER, ,1998,,270002
CASE MANAGEMENT FOR UNDERSERVED HISPANIC TYPE 2 DIABETES POPULATIONS,NIDDK,8132398,5R01DK084325-03,5,R01,DK,84325,3,,,6726691,"WELCH, GARRY W",Not Applicable,BAYSTATE MEDICAL CENTER, ,2011,603878,
CASE MANAGEMENT FOR UNDERSERVED HISPANIC TYPE 2 DIABETES POPULATIONS,NIDDK,7921953,5R01DK084325-02,5,R01,DK,84325,2,,,6726691,"WELCH, GARRY W",Not Applicable,BAYSTATE MEDICAL CENTER, ,2010,628611,
CASE MANAGEMENT FOR UNDERSERVED HISPANIC TYPE 2 DIABETES POPULATIONS,NIDDK,7700058,1R01DK084325-01,1,R01,DK,84325,1,,,6726691,"WELCH, GARRY W",Not Applicable,BAYSTATE MEDICAL CENTER, ,2009,628900,
MEXICAN AMERICANS: FAMILY CAREGIVERS EXPERIENCE,NINR,6807085,1R15NR008510-01A1,1,R15,NR,8510,1,A1,,7335043,"WELLS, JO NELL",Not Applicable,TEXAS CHRISTIAN UNIVERSITY, ,2004,208950,
HIV PREVENTION AMONG HIGH RISK LATINO COUPLES,NICHD,6075021,3R01HD030639-06S1,3,R01,HD,30639,6,S1,,1896296,"WILSON, SANDRA R",Not Applicable,PALO ALTO MEDICAL FOUNDATION RES INST, ,1999,68732
HIV PREVENTION AMONG HIGH RISK LATINO COUPLES,NICHD,2704596,5R01HD030639-06,5,R01,HD,30639,6,,,1896296,"WILSON, SANDRA R",Not Applicable,PALO ALTO MEDICAL FOUNDATION RES INST, ,1998,379464
HIV PREVENTION AMONG HIGH RISK LATINO COUPLES,NICHD,2403310,5R01HD030639-04,5,R01,HD,30639,4,,,1896296,"WILSON, SANDRA R",Not Applicable,AMERICAN INSTITUTES FOR RESEARCH, ,1997,123172
HAIR NICOTINE FEEDBACK TO REDUCE CHILDREN'S ETS EXPOSURE,NCI,6729998,5R03CA101587-02,5,R03,CA,101587,2,,,6264334,"WOODRUFF, SUSAN I",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2004,75500
HAIR NICOTINE FEEDBACK TO REDUCE CHILDREN'S ETS EXPOSURE,NCI,6650090,1R03CA101587-01,1,R03,CA,101587,1,,,6264334,"WOODRUFF, SUSAN I",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2003,75500
CULTURALLY SENSITIVE TREATMENT FOR DEPRESSED ASIANS,NIMH,7247877,5K23MH067085-05,5,K23,MH,67085,5,,,3036275,"YEUNG, ALBERT S.",Not Applicable,MASSACHUSETTS GENERAL HOSP, ,2007,169781
CULTURALLY SENSITIVE TREATMENT FOR DEPRESSED ASIANS,NIMH,7116848,5K23MH067085-04,5,K23,MH,67085,4,,,3036275,"YEUNG, ALBERT S.",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2006,166410
CULTURALLY SENSITIVE TREATMENT FOR DEPRESSED ASIANS,NIMH,6918722,5K23MH067085-03,5,K23,MH,67085,3,,,3036275,"YEUNG, ALBERT S.",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2005,163134
CULTURALLY SENSITIVE TREATMENT FOR DEPRESSED ASIANS,NIMH,6777076,5K23MH067085-02,5,K23,MH,67085,2,,,3036275,"YEUNG, ALBERT S.",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2004,159957
CULTURALLY SENSITIVE TREATMENT FOR DEPRESSED ASIANS,NIMH,6678553,1K23MH067085-01A1,1,K23,MH,67085,1,A1,,3036275,"YEUNG, ALBERT S.",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2003,156870
MINORITY MENTAL HEALTH RESEARCH AT UNIVERSITY OF TEXAS,NIMH,7237902,5R24MH047167-15,5,R24,MH,47167,15,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2007,138621
MINORITY MENTAL HEALTH RESEARCH AT UNIVERSITY OF TEXAS,NIMH,7074568,5R24MH047167-14,5,R24,MH,47167,14,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2006,119100
MINORITY MENTAL HEALTH RESEARCH AT UNIVERSITY OF TEXAS,NIMH,6899793,5R24MH047167-13,5,R24,MH,47167,13,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2005,392311
MINORITY MENTAL HEALTH RESEARCH AT UNIVERSITY OF TEXAS,NIMH,6754552,5R24MH047167-12,5,R24,MH,47167,12,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2004,392274
MINORITY MENTAL HEALTH RESEARCH AT UNIVERSITY OF TEXAS,NIMH,6602238,2R24MH047167-11,2,R24,MH,47167,11,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2003,400067
MENTAL HEALTH RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS,NIMH,6538634,5R24MH047167-10,5,R24,MH,47167,10,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2002,267621
MENTAL HEALTH RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS,NIMH,6391979,5R24MH047167-09,5,R24,MH,47167,9,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2001,260965
MENTAL HEALTH RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS,NIMH,6186121,5R24MH047167-08,5,R24,MH,47167,8,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,2000,257021
MENTAL HEALTH RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS,NIMH,2823371,2R24MH047167-07,2,R24,MH,47167,7,,,2788862,"ZARATE, MICHAEL ANTHONY",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,1999,250635
INTERACTIVE MEDIA FOR WOMEN CONSIDERING HORMONE THERAPY,NIA,6229044,3R43AG017016-01S1,3,R43,AG,17016,1,S1,,10584524,"ZIMMERMAN, JANICE L",Not Applicable,SANDIA CONSULTING GROUP, ,2000,9813
INTERACTIVE MEDIA FOR WOMEN CONSIDERING HORMONE THERAPY,NIA,2869789,1R43AG017016-01,1,R43,AG,17016,1,,,1873890,"ZIMMERMAN, JANICE L",Not Applicable,SANDIA CONSULTING GROUP, ,1999,103796
