COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8966237,3U01AA019879-05S2,3,U01,AA,19879,5,S2,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2015,97750
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8923821,3U01AA019879-05S1,3,U01,AA,19879,5,S1,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2014,140975
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8718939,5U01AA019879-05,5,U01,AA,19879,5,,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2014,1784988
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8522249,5U01AA019879-04,5,U01,AA,19879,4,,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2013,1745067
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8320426,5U01AA019879-03,5,U01,AA,19879,3,,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2012,1819554
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8144758,5U01AA019879-02,5,U01,AA,19879,2,,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2011,1779452
COLLABORATION TO ESTABLISH THE PREVALENCE OF FASD IN SAN DIEGO; CA,NIAAA,8009904,1U01AA019879-01,1,U01,AA,19879,1,,,7147705,"CHAMBERS, CHRISTINA ",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2010,1376443
SELF-DIRECTED ONLINE TRAINING PROGRAM FOR MULTICULTURAL DEMENTIA CAREGIVERS,NIA,8252860,1R43AG041571-01,1,R43,AG,41571,1,,,9220203,"CHEN, HONGTU ",Not Applicable,"ENVIRONMENT AND HEALTH GROUP, INC.", ,2011,292485
CENTER FOR AIDS PREVENTION STUDIES (CAPS),NIMH,2245439,5P50MH042459-10,5,P50,MH,42459,10,,,1871842,"COATES, THOMAS J.",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,1995,2968569
CENTER FOR AIDS PREVENTION STUDIES (CAPS),NIMH,2245436,5P50MH042459-09,5,P50,MH,42459,9,,,1871842,"COATES, THOMAS J.",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,1994,3936714
CENTER FOR AIDS PREVENTION STUDIES (CAPS),NIMH,3107197,5P50MH042459-08,5,P50,MH,42459,8,,,1871842,"COATES, THOMAS J.",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,1993,4148572
CENTER FOR AIDS PREVENTION STUDIES (CAPS),NIMH,2245432,5P50MH042459-07,5,P50,MH,42459,7,,,1871842,"COATES, THOMAS J.",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,1992,4325502
HIV PREVENTION IN A MULTICULTURAL CHILDREN'S SAMPLE,NICHD,2750212,5R01HD031360-04,5,R01,HD,31360,4,,,1896267,"CRANO, WILLIAM D.",Not Applicable,UNIVERSITY OF ARIZONA, ,1998,311316
HIV PREVENTION IN A MULTICULTURAL CHILDREN'S SAMPLE,NICHD,2203846,5R01HD031360-03,5,R01,HD,31360,3,,,1896267,"CRANO, WILLIAM D.",Not Applicable,UNIVERSITY OF ARIZONA, ,1996,299343
HIV PREVENTION IN A MULTICULTURAL CHILDREN'S SAMPLE,NICHD,2203845,5R01HD031360-02,5,R01,HD,31360,2,,,1896267,"CRANO, WILLIAM D.",Not Applicable,UNIVERSITY OF ARIZONA, ,1995,287829
HIV PREVENTION IN A MULTICULTURAL CHILDREN'S SAMPLE,NICHD,2203844,1R01HD031360-01A1,1,R01,HD,31360,1,A1,,1896267,"CRANO, WILLIAM D.",Not Applicable,UNIVERSITY OF ARIZONA, ,1994,324609
MAXIMIZING IMMIGRANT AND REFUGEE HEALTH: A COMMUNITY-PARTNERED APPROACH,NIDA,7689198,5R03DA026633-02,5,R03,DA,26633,2,,,9318410,"CULHANE-PERA, KATHLEEN ",Not Applicable,"WEST SIDE COMMUNITY HEALTH SERVICES, INC", ,2009,44914
MAXIMIZING IMMIGRANT AND REFUGEE HEALTH: A COMMUNITY-PARTNERED APPROACH,NIDA,7668270,1R03DA026633-01,1,R03,DA,26633,1,,,9318410,"CULHANE-PERA, KATHLEEN ",Not Applicable,"WEST SIDE COMMUNITY HEALTH SERVICES, INC", ,2008,44897
IMPROVING MINORITY CHILD HEALTH IN WASHINGTON; D.C,NICHD,7425330,5U10HD030447-15,5,U10,HD,30447,15,,,8585219,"D'ANGELO, LAWRENCE JAMES",Not Applicable,CHILDREN'S RESEARCH INSTITUTE, ,2008,691922
IMPROVING MINORITY CHILD HEALTH IN WASHINGTON; D.C,NICHD,7239682,5U10HD030447-14,5,U10,HD,30447,14,,,8585219,"D'ANGELO, LAWRENCE JAMES",Not Applicable,CHILDREN'S RESEARCH INSTITUTE, ,2007,690170
IMPROVING MINORITY CHILD HEALTH IN WASHINGTON; D.C,NICHD,7064824,5U10HD030447-13,5,U10,HD,30447,13,,,8585219,"D'ANGELO, LAWRENCE JAMES",Not Applicable,CHILDREN'S RESEARCH INSTITUTE, ,2006,697154
IMPROVING MINORITY CHILD HEALTH IN WASHINGTON; D.C,NICHD,6895876,5U10HD030447-12,5,U10,HD,30447,12,,,8585219,"D'ANGELO, LAWRENCE JAMES",Not Applicable,CHILDREN'S RESEARCH INSTITUTE, ,2005,702591
TREATMENT DEVELOPMENT FOR COMORBID MAJOR DEPRESSION AND SOCIAL PHOBIA,NIMH,8576469,5K23MH085730-05,5,K23,MH,85730,5,,,8513280,"DALRYMPLE, KRISTY LEE",Not Applicable,RHODE ISLAND HOSPITAL, ,2014,152337
TREATMENT DEVELOPMENT FOR COMORBID MAJOR DEPRESSION AND SOCIAL PHOBIA,NIMH,8368076,5K23MH085730-04,5,K23,MH,85730,4,,,8513280,"DALRYMPLE, KRISTY LEE",Not Applicable,RHODE ISLAND HOSPITAL, ,2013,152433
TREATMENT DEVELOPMENT FOR COMORBID MAJOR DEPRESSION AND SOCIAL PHOBIA,NIMH,8196722,5K23MH085730-03,5,K23,MH,85730,3,,,8513280,"DALRYMPLE, KRISTY LEE",Not Applicable,RHODE ISLAND HOSPITAL, ,2012,154619
TREATMENT DEVELOPMENT FOR COMORBID MAJOR DEPRESSION AND SOCIAL PHOBIA,NIMH,8012276,5K23MH085730-02,5,K23,MH,85730,2,,,8513280,"DALRYMPLE, KRISTY LEE",Not Applicable,RHODE ISLAND HOSPITAL, ,2011,149586
TREATMENT DEVELOPMENT FOR COMORBID MAJOR DEPRESSION AND SOCIAL PHOBIA,NIMH,7787229,1K23MH085730-01A1,1,K23,MH,85730,1,A1,,8513280,"DALRYMPLE, KRISTY LEE",Not Applicable,RHODE ISLAND HOSPITAL, ,2010,148462
COMPLIANCE INTERVENTION FOR YOUTHS WITH TYPE I DIABETES,NIDDK,2144380,5R01DK045151-03,5,R01,DK,45151,3,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,1994,170129
COMPLIANCE INTERVENTION FOR YOUTHS WITH TYPE I DIABETES,NIDDK,3246712,5R01DK045151-02,5,R01,DK,45151,2,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,1993,169826
COMPLIANCE INTERVENTION FOR YOUTHS WITH TYPE I DIABETES,NIDDK,3246711,1R01DK045151-01A1,1,R01,DK,45151,1,A1,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,1992,163040
HEALTH BEHAVIOR RESEARCH IN MINORITY PEDIATRIC POPULATIONS,NICHD,8263391,5T32HD007510-15,5,T32,HD,7510,15,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2012,235905
HEALTH BEHAVIOR RESEARCH IN MINORITY PEDIATRIC POPULATIONS,NICHD,8067950,5T32HD007510-14,5,T32,HD,7510,14,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2011,240495
HEALTH BEHAVIOR RESEARCH IN MINORITY PEDIATRIC POPULATIONS,NICHD,7808866,5T32HD007510-13,5,T32,HD,7510,13,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2010,231028
HEALTH BEHAVIOR RESEARCH IN MINORITY PEDIATRIC POPULATIONS,NICHD,7614168,5T32HD007510-12,5,T32,HD,7510,12,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2009,252844
HEALTH BEHAVIOR RESEARCH IN MINORITY PEDIATRIC POPULATIONS,NICHD,7436495,2T32HD007510-11,2,T32,HD,7510,11,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2008,267885
HEALTH BEHAVIOR RESEARCH: MINORITY PEDIATRIC POPULATIONS,NICHD,7227901,5T32HD007510-10,5,T32,HD,7510,10,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2007,227633
HEALTH BEHAVIOR RESEARCH: MINORITY PEDIATRIC POPULATIONS,NICHD,7055245,5T32HD007510-09,5,T32,HD,7510,9,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2006,208498
HEALTH BEHAVIOR RESEARCH: MINORITY PEDIATRIC POPULATIONS,NICHD,6892117,5T32HD007510-08,5,T32,HD,7510,8,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2005,185587
HEALTH BEHAVIOR RESEARCH: MINORITY PEDIATRIC POPULATIONS,NICHD,6740839,5T32HD007510-07,5,T32,HD,7510,7,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2004,161695
HEALTH BEHAVIOR RESEARCH: MINORITY PEDIATRIC POPULATIONS,NICHD,6676223,2T32HD007510-06,2,T32,HD,7510,6,,,1871356,"DELAMATER, ALAN M",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2003,240763
STRIDES TOWARD ENCOURAGING PROFESSIONS IN SCIENCE,NIGMS,2910848,3R25GM058381-01S1,3,R25,GM,58381,1,S1,,2252016,"DEPOY WALKER, ROSEMARIE ",Not Applicable,METROPOLITAN STATE COLLEGE OF DENVER, ,1999,2743
STRIDES TOWARD ENCOURAGING PROFESSIONS IN SCIENCE,NIGMS,2719016,1R25GM058381-01,1,R25,GM,58381,1,,,2252016,"DEPOY WALKER, ROSEMARIE ",Not Applicable,METROPOLITAN STATE COLLEGE OF DENVER, ,1998,290042,
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8307548,5R44HD059283-04,5,R44,HD,59283,4,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2012,467036,
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8133526,5R44HD059283-03,5,R44,HD,59283,3,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2011,310230,
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8001638,2R44HD059283-02,2,R44,HD,59283,2,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2010,326661,
INTERVENING WITH HIV+ ALCOHOL ABUSERS: INFLUENCE OF NEURO-BEHAVIORAL FACTORS,NIAAA,8094480,5R01AA017405-05,5,R01,AA,17405,5,,,1875504,"DEVIEUX, JESSY G",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2011,576054,
MULTICULTURAL INTERVENTIONS FOR ADOLESCENT SUBSTANCE USE,NIAAA,6371643,5R01AA012702-03,5,R01,AA,12702,3,,,1870683,"DISHION, THOMAS J",Not Applicable,UNIVERSITY OF OREGON, ,2001,242955,
MULTICULTURAL INTERVENTIONS FOR ADOLESCENT SUBSTANCE USE,NIAAA,6168547,5R01AA012702-02,5,R01,AA,12702,2,,,1870683,"DISHION, THOMAS J",Not Applicable,UNIVERSITY OF OREGON, ,2000,264576,
MULTICULTURAL INTERVENTIONS FOR ADOLESCENT SUBSTANCE USE,NIAAA,2825845,1R01AA012702-01,1,R01,AA,12702,1,,,1870683,"DISHION, THOMAS J",Not Applicable,UNIVERSITY OF OREGON, ,1999,233132,
HYPERGLYCEMIA AND ADVERSE PREGNANCY OUTCOME STUDY (HAPO),NCRR,7376818,5M01RR000048-45,5,M01,RR,48,45,,393,8162765,"DOOLEY, SHARON ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2006,,422
ENABLING ACCESS TO CUTTING-EDGE BIOMEDICAL AND BEHAVIORAL SCIENCE,NIGMS,8788276,5R25GM095459-04,5,R25,GM,95459,4,,,1893344,"DUBOCOVICH, MARGARITA L",Not Applicable,STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2015,447818,
ENABLING ACCESS TO CUTTING-EDGE BIOMEDICAL AND BEHAVIORAL SCIENCE,NIGMS,8597444,5R25GM095459-03,5,R25,GM,95459,3,,,1893344,"DUBOCOVICH, MARGARITA L",Not Applicable,STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2014,455398,
ENABLING ACCESS TO CUTTING-EDGE BIOMEDICAL AND BEHAVIORAL SCIENCE,NIGMS,8450082,5R25GM095459-02,5,R25,GM,95459,2,,,1893344,"DUBOCOVICH, MARGARITA L",Not Applicable,STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2013,373213,
ENABLING ACCESS TO CUTTING-EDGE BIOMEDICAL AND BEHAVIORAL SCIENCE,NIGMS,8214395,1R25GM095459-01A1,1,R25,GM,95459,1,A1,,1893344,"DUBOCOVICH, MARGARITA L",Not Applicable,STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2012,221388,
HAPO: DATA COORDINATING CENTER,NICHD,7188623,5R01HD034242-09,5,R01,HD,34242,9,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2007,354779,
HAPO: DATA COORDINATING CENTER,NICHD,7053366,5R01HD034242-08,5,R01,HD,34242,8,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2006,418434,
HAPO: DATA COORDINATING CENTER,NICHD,6881647,5R01HD034242-07,5,R01,HD,34242,7,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2005,469911,
HAPO: DATA COORDINATING CENTER,NICHD,6681562,2R01HD034242-06,2,R01,HD,34242,6,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,2004,459988
HAPO:  DATA COORDINATING CENTER,NICHD,6636925,5R01HD034242-05,5,R01,HD,34242,5,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,2003,259035
HAPO:  DATA COORDINATING CENTER,NICHD,6520997,5R01HD034242-04,5,R01,HD,34242,4,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,2002,346575
HAPO:  DATA COORDINATING CENTER,NICHD,6387807,5R01HD034242-03,5,R01,HD,34242,3,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,2001,401761
HAPO:  DATA COORDINATING CENTER,NICHD,6182574,5R01HD034242-02,5,R01,HD,34242,2,,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,2000,329025
HAPO:  DATA COORDINATING CENTER,NICHD,2758499,1R01HD034242-01A2,1,R01,HD,34242,1,A2,,6361771,"DYER, ALAN R",Not Applicable,NORTHWESTERN UNIVERSITY, ,1999,279256
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,7092524,5R01DA015936-05,5,R01,DA,15936,5,,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2006,413127
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,6921306,5R01DA015936-04,5,R01,DA,15936,4,,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2005,427102
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,6881700,3R01DA015936-03S1,3,R01,DA,15936,3,S1,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2004,39224
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,6779932,5R01DA015936-03,5,R01,DA,15936,3,,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2004,399765
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,6669083,5R01DA015936-02,5,R01,DA,15936,2,,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2003,384953
INHALANT USE AMONG RURAL CHILDREN: A MULTICULTURAL STUDY,NIDA,6584815,1R01DA015936-01,1,R01,DA,15936,1,,,1883804,"EDWARDS, RUTH W",Not Applicable,COLORADO STATE UNIVERSITY-FORT COLLINS, ,2002,386276
FISK UNIVERSITY RESEARCH INFRASTRUCTURE DEVELOPMENT PROG,NICHD,6526320,5G11HD034796-06,5,G11,HD,34796,6,,,1974121,"EVANS, PRINCILLA S",Not Applicable,FISK UNIVERSITY, ,2002,91800
FISK UNIVERSITY RESEARCH INFRASTRUCTURE DEVELOPMENT PROG,NICHD,6387830,5G11HD034796-05,5,G11,HD,34796,5,,,1974121,"EVANS, PRINCILLA S",Not Applicable,FISK UNIVERSITY, ,2001,1
FISK UNIVERSITY RESEARCH INFRASTRUCTURE DEVELOPMENT,NICHD,6042778,2G11HD034796-04,2,G11,HD,34796,4,,,1974121,"EVANS, PRINCILLA S",Not Applicable,FISK UNIVERSITY, ,2000,183600
HERITAGE RESEARCH INITIATIVE FOR SCIENTFIC ENHANCEMENT,NIGMS,7064879,5R25GM064628-04,5,R25,GM,64628,4,,,8592476,"FALCO, JAMES WILLIAM",Not Applicable,HERITAGE UNIVERSITY, ,2006,232461
HERITAGE RESEARCH INITIATIVE FOR SCIENTFIC ENHANCEMENT,NIGMS,6889273,5R25GM064628-03,5,R25,GM,64628,3,,,8592476,"FALCO, JAMES WILLIAM",Not Applicable,HERITAGE UNIVERSITY, ,2005,225691
HERITAGE RESEARCH INITIATIVE FOR SCIENTFIC ENHANCEMENT,NIGMS,6740893,5R25GM064628-02,5,R25,GM,64628,2,,,8592476,"FALCO, JAMES WILLIAM",Not Applicable,HERITAGE UNIVERSITY, ,2004,221557
HERITAGE RESEARCH INITIATIVE FOR SCIENTFIC ENHANCEMENT,NIGMS,6569440,1R25GM064628-01A1,1,R25,GM,64628,1,A1,,8592476,"FALCO, JAMES WILLIAM",Not Applicable,HERITAGE UNIVERSITY, ,2003,232796
BREAST AND CERVICAL CANCER SCREENING IN OBESE WOMEN,NCI,7921186,3K07CA101780-04S1,3,K07,CA,101780,4,S1,,7066103,"FERRANTE, JEANNE M",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,YES,2009,50000
BREAST AND CERVICAL CANCER SCREENING IN OBESE WOMEN,NCI,7494652,5K07CA101780-04,5,K07,CA,101780,4,,,7066103,"FERRANTE, JEANNE M",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH, ,2008,140940
BREAST AND CERVICAL CANCER SCREENING IN OBESE WOMEN,NCI,7275960,7K07CA101780-03,7,K07,CA,101780,3,,,7066103,"FERRANTE, JEANNE M",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH, ,2007,140940
BREAST AND CERVICAL CANCER SCREENING IN OBESE WOMEN,NCI,7120022,5K07CA101780-02,5,K07,CA,101780,2,,,7066103,"FERRANTE, JEANNE M",Not Applicable,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL, ,2006,140940
BREAAST AND CERVICAL CANCER SCREENING IN OBESE WOMEN,NCI,6867081,1K07CA101780-01A2,1,K07,CA,101780,1,A2,,7066103,"FERRANTE, JEANNE M",Not Applicable,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL, ,2005,140940
ALZHEIMER'S DISEASE CORE CENTER,NIA,8672568,5P30AG008051-25,5,P30,AG,8051,25,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2014,1828568
ALZHEIMER'S DISEASE CORE CENTER,NIA,8730303,3P30AG008051-24S1,3,P30,AG,8051,24,S1,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2013,391976
ALZHEIMER'S DISEASE CORE CENTER,NIA,8469371,5P30AG008051-24,5,P30,AG,8051,24,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2013,1704120
ALZHEIMER'S DISEASE CORE CENTER,NIA,8293186,5P30AG008051-23,5,P30,AG,8051,23,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2012,1830027
ALZHEIMER'S DISEASE CORE CENTER,NIA,8073104,5P30AG008051-22,5,P30,AG,8051,22,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2011,1828153
ALZHEIMER'S DISEASE CORE CENTER,NIA,7839156,2P30AG008051-21,2,P30,AG,8051,21,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2010,1861978
ALZHEIMER'S DISEASE CORE CENTER,NIA,7629008,5P30AG008051-20,5,P30,AG,8051,20,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2009,1777309
ALZHEIMER'S DISEASE CORE CENTER,NIA,7670719,3P30AG008051-19S1,3,P30,AG,8051,19,S1,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2008,163608
ALZHEIMER'S DISEASE CORE CENTER,NIA,7459862,5P30AG008051-19,5,P30,AG,8051,19,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2008,1731400
ALZHEIMER'S DISEASE CORE CENTER,NIA,7254082,5P30AG008051-18,5,P30,AG,8051,18,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2007,1720888
ALZHEIMER'S DISEASE CORE CENTER,NIA,7086220,5P30AG008051-17,5,P30,AG,8051,17,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2006,1726219
ALZHEIMER'S DISEASE CORE CENTER,NIA,7120230,3P30AG008051-16S1,3,P30,AG,8051,16,S1,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2005,38640
ALZHEIMER'S DISEASE CORE CENTER,NIA,6896332,2P30AG008051-16,2,P30,AG,8051,16,,,1861962,"FERRIS, STEVEN H",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2005,1663626
SOMETHING INSIDE SO STRONG MULTICULTURAL CONFERENC,CSAP,2290481,1H13SP006928-01,1,H13,SP,6928,1,,,1993880,"FIELDS, CY ",Not Applicable,"PREVENTION FIRST, INC.", ,1995,
BIOMEDICAL RESEARCH INTERNSHIP PROGRAM FOR UNDERGRADUATE,NHLBI,7623051,5T35HL007961-10,5,T35,HL,7961,10,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2009,25416
BIOMEDICAL RESEARCH INTERNSHIP PROGRAM FOR UNDERGRADUATE,NHLBI,7425798,5T35HL007961-09,5,T35,HL,7961,9,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2008,68429
BIOMEDICAL RESEARCH INTERNSHIP PROGRAM FOR UNDERGRADUATE,NHLBI,7228837,5T35HL007961-08,5,T35,HL,7961,8,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2007,68429
BIOMEDICAL RESEARCH INTERNSHIP PROGRAM FOR UNDERGRADUATE,NHLBI,7105529,5T35HL007961-07,5,T35,HL,7961,7,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2006,68429
BIOMEDICAL RESEARCH INTERNSHIP PROGRAM FOR UNDERGRADUAT*,NHLBI,6947696,2T35HL007961-06,2,T35,HL,7961,6,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2005,68429
GEMS; A SHORT-TERM SUMMER INTERNSHIP PROGRAM FOR DIVERSE STUDENTS,NHLBI,8803488,2R25HL103286-06,2,R25,HL,103286,6,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2015,125497
SHORT-TERM INTERNSHIP PROGRAM FOR UNDERGRADUATES AND HEALTH PROFESSIONAL STUDENTS,NHLBI,8688327,5R25HL103286-05,5,R25,HL,103286,5,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2014,120785
SHORT-TERM INTERNSHIP PROGRAM FOR UNDERGRADUATES AND HEALTH PROFESSIONAL STUDENTS,NHLBI,8507524,5R25HL103286-04,5,R25,HL,103286,4,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2013,119445
SHORT-TERM INTERNSHIP PROGRAM FOR UNDERGRADUATES AND HEALTH PROFESSIONAL STUDENTS,NHLBI,8287091,5R25HL103286-03,5,R25,HL,103286,3,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2012,118167
SHORT-TERM INTERNSHIP PROGRAM FOR UNDERGRADUATES AND HEALTH PROFESSIONAL STUDENTS,NHLBI,8096749,5R25HL103286-02,5,R25,HL,103286,2,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2011,116951
SHORT-TERM INTERNSHIP PROGRAM FOR UNDERGRADUATES AND HEALTH PROFESSIONAL STUDENTS,NHLBI,7926783,1R25HL103286-01,1,R25,HL,103286,1,,,1873836,"FLORES, SONIA CASTRO",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2010,97401,
